stage,condition,f1,validity,calls,wallclock_s
s1,clean,0.9967,1.0000,300,52.5
s2,baseline_unoptimized,0.9967,1.0000,300,79.4
s2,mipro_optimization,,,673,148.2
s2,optimized,0.9967,1.0000,300,74.4
s1,n1,0.9900,1.0000,300,53.0
s1,n2,0.9650,0.9967,301,55.0
s1,n3,0.8991,0.9667,310,57.6
s4,frozen_s2_on_n2,0.9701,1.0000,300,
s4,reoptimization,,,683,136.2
s4,reoptimized_on_n2,0.9603,1.0000,300,77.2
s1,clean_1b,0.9746,0.9900,303,44.4
s1,n3_1b,0.6722,0.8867,334,49.7
b77_manual,clean_3b,0.5175,0.9383,327,71.7
b77_manual,clean_1b,0.2670,0.6623,412,78.5
b77_dspy,baseline_unoptimized,0.5035,0.9773,314,143.2
b77_dspy,mipro_optimization,,,708,286.6
b77_dspy,optimized,0.5035,0.9773,314,135.0
b77_dspy,baseline_unoptimized_e1,0.5035,0.9773,314,146.0
b77_dspy,mipro_optimization_e1,,,685,371.9
b77_dspy,optimized_e1,0.5307,0.9773,315,139.0
s1,synth_3b,0.8844,0.9867,152,29.2
b77_manual,synth_3b,0.3696,0.9448,325,70.3
b77_recover,frozen_opt_on_synth,0.3292,0.9838,314,152.1
b77_recover,reoptimization,,,665,367.6
b77_recover,reoptimized_on_synth,0.3390,0.9838,313,146.6
